Task;Frame;ActiveVelocityDistance;ActiveAccelerationX;ActiveAccelerationY;ActiveAccelerationZ;TriggerPressed;VelocityZero; CollidedControllerPosition; TriggeredControllerPosition; DistanceControllerPosition
2;0;0,2487951;0,518622;-0,6312352;0,257752;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;1;0,259019;0,3659906;-0,4718928;0,954527;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;2;0,2742507;0,256816;2,184963;0,5129335;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;3;0,288186;-0,6292441;2,737233;0,22775;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;4;0,3060502;-0,470541;2,082918;1,041691;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;5;0,3210799;-0,04575728;-2,261523;0,7658591;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;6;0,332396;1,540834;-1,695459;2,073058;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;7;0,3736523;-1,777252;-0,812494;4,622943;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;8;0,4293168;-3,503013;2,634408;6,186521;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;9;0,5128964;-3,352614;4,333556;6,120924;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;10;0,6755011;-3,035583;6,059954;7,608042;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;11;0,8320526;-3,066096;7,064314;8,638943;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;12;0,9977646;-2,98276;7,594138;8,519814;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;13;1,156405;-3,547528;7,963234;7,47006;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;14;1,280234;-4,928736;7,679671;5,857923;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;15;1,402632;-6,33112;6,951313;4,040334;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;16;1,508113;-7,023971;5,54609;2,594742;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;17;1,598203;-7,02386;4,82602;1,049288;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;18;1,673677;-6,64014;4,590437;-0,2511233;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;19;1,738474;-6,16019;4,222273;-1,290533;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;20;1,804978;-6,196146;4,263317;-2,595883;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;21;1,860836;-6,022657;4,680735;-3,401078;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;22;1,909248;-5,578587;4,661449;-3,831464;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;23;1,963132;-4,469213;4,300175;-5,041584;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;24;1,992289;-3,509599;3,323384;-6,095503;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;25;2,002515;-2,661853;2,316562;-6,837982;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;26;1,9937;-2,007753;0,3665901;-7,28463;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;27;1,966422;-1,669774;-1,531495;-7,049997;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
2;28;1,937125;-1,024015;-2,299242;-6,50294;False;False;(0.0, 1.4, 0.1);(0.0, 1.4, 0.1);0,00369578;
